au_l,au_u,gen_l,gen_u,ind_l,ind_u,italy_l,italy_u,jap_l,jap_u,nz_l,nz_u,nor_l,nor_u,spa_l,spa_u,uk_l,uk_u,us_l,us_u
-153.3,440.013173,-2308,358.27805,-180.40852,558.38703,2588,69460,-14.46,24.954743,-6.163808,-3.088999,-316.67505,-78.99,-866.1,421.0016,-15310,-2042.729,60740,123400
-0.09831,0.057558,-1.635,-0.87197,0.00928,0.37272,-2.176,0.04671,0.003732,0.095994,-0.007056,0.02114,-0.17433,-2.909e-4,-10.76,-4.3101,-8.687,-2.4683,-4.594,-0.1784
-0.08195,0.06011,-0.3512,0.31833,-0.1168,0.22922,0.09428,1.851,-0.1324,-0.022471,-0.001401,0.024067,-0.112,0.06946,-0.03084,5.3793,-0.106,2.4846,-0.3365,3.039
-0.006213,0.007191,-0.09977,0.08836,-0.01594,0.02194,-0.3578,0.3915,-0.01392,0.007335,-0.007134,0.002836,-0.04352,0.1113,0.002217,0.5968,-0.765,0.5037,-0.02053,0.04676
-0.007663,0.008543,-0.06729,0.14169,-0.03813,0.00844,-0.3888,0.563,9.985e-4,0.019349,-0.005925,0.001904,-0.10656,0.05391,-0.3569,0.2329,-0.4643,0.9104,-0.04709,0.02322
-0.5623,1.115699,-75.9,-18.86584,-41.29271,1.17509,-264.2,-110.3,-3.915,1.726562,-2.840663,4.624656,6.59738,16.17,-58.99,-7.7311,-14.73,20.6449,-1665,-1368
-1.516,1.495784,70.27,181.53912,17.05366,48.05511,8.114,86.04,1.81,5.217344,-1.276893,1.456998,-12.0276,0.1646,252.9,528.4654,-46.15,107.5068,-38.95,4.337
-1.655,0.531597,-9.135,18.89861,-0.47367,17.98454,29,130.3,111.8,175.974229,-0.363644,0.062794,-8.38296,9.07,-460.6,-165.3861,106.2,201.0288,147.6,202.8
50.01,145.984436,366.2,498.04492,-88.40107,-29.76816,-119.3,-24.7,-28.36,-7.018709,-46.642868,-37.652782,-20.15182,-9.922,-1710,-873.6607,1246,14934.2751,29490,64750
0.3067,2.479589,-1.191,15.43649,-91.70367,10.11834,-334.9,-101,-22.65,-5.045517,-4.457405,6.412393,54.23624,124.4,-164.5,-55.7091,-17.66,96.6362,-100.8,6.87
1.025,4.319031,-160.3,1093.4217,-98.11609,66.76896,-687.9,18.05,-0.575,-3.175405,0.0821,0.741571,3.0604,17.82,-69.29,0.4348,-65.44,59.1805,27.02,104.9
-5.635,-2.026445,-18.37,8.80118,-23.54897,37.35412,-33440,-1121,-7.986,9.983503,1.799696,3.475703,42.49137,159.4,178.7,656.9809,-194.3,526.6094,-60770,-29230
-254,23.06648,2.613,25.70367,-42.01413,29.30815,217.6,465.7,-0.6106,18.16316,-8.278854,7.59315,6.05337,16.1,87.14,628.5428,-40.38,5.6541,-155,67.99
